ID,Title,Link,Source
2023-06-13-tax-supervising-and-conservation-minutes,Tax Supervising and Conservation Commission: Minutes,https://www.tsccmultco.com/wp-content/uploads/PPS-FY-24-Budget-Hearing-Minutes.pdf,Multnomah County
2023-06-03-tax-supervising-and-conservation-video,Tax Supervising and Conservation Commission: Video,https://www.youtube.com/watch?v=RAP5IaOA7EA&t=3805s,Multnomah County
2023-05-22-historic-landmarks-video,Historic Landmarks Commission: Video,https://www.youtube.com/watch?v=kvA5pTp9CHo,City of Portland
2023-05-01-open-house-video,Jefferson Design Open House,https://www.youtube.com/watch?v=L767aI5Kp_o,PPS
2023-05-01-design-advisory-group-minutes,Design Advisory Group: Minutes,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/DAG%203%20Meeting%20Notes%202023-05-01.pdf,PPS
2023-03-23-design-advisory-group-minutes,Design Advisory Group: Minutes,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2023-03-23%20JHS%20DAG2%20Meeting%20Record.pdf,PPS
2023-02-08-design-advisory-group-presentation,Design Advisory Group: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2023-02-08%20DAG1%20Board_Combined.pdf,PPS
2023-02-08-design-advisory-group-comments,Design Advisory Group: Comments,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2023-02-08%20DAG1%20Board_Combined_Comments.pdf,PPS
2022-12-15-opb-approves-plan,PPS Board Approves Plan to Renovate Jefferson High School,https://www.opb.org/article/2022/12/15/portland-public-schools-jefferson-high-school-oregon-renovation/,OPB
2022-12-01-comprehensive-plan,Comprehensive Plan,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Jefferson%20HS%20Comprehensive%20Plan%20Report%2012-13-22.pdf,PPS
2022-11-17-design-advisory-group-charter,Design Advisory Group: Charter,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Jefferson%20HS%20DAG%20Charter%20FINAL%2011-17-22.pdf,PPS
2022-11-16-open-house-place,Open House: Place Posters,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-11-16%20JHS%20Open%20House%20%20Boards_PLACE.pdf,PPS
2022-11-16-open-house-lever,Open House: Lever Posters,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-11-16%20JHS%20Open%20House%20Boards_Lever.pdf,PPS
2022-11-16-open-house-colloqate,Open House: Colloqate Posters,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-11-16%20JHS%20Open%20House%20Boards_Colloqate.pdf,PPS
